字符,笔画数,拼音,偏旁部首,频率,结构代码,拆字,结构方式,间架比例,char,index,pinyin,pronunciation_details,结构谜底,拆字谜底,谜底,字谜
部,10,bù,阝,0,H3,"['咅 邑', '咅 阝']",左右结构,左宽右窄,部,2044.0,bù,"{'pinyin': 'bù', 'explanations': [{'content': '(形声。从邑,(fǒu)声。从“邑”表示与行政区域有关。本义:古汉地名。约在今甘肃省天水、清水、秦安、两当、礼县、徽县一带)。'}, {'content': '同本义。', 'detail': [{'text': '部,天水狄部。', 'book': '《说文》'}]}, {'content': '古代军事编制单位,后泛指部队,军队。', 'detail': [{'text': '瑜为前部大督。', 'book': '《三国志·周瑜传》'}], 'words': [{'word': '部阵', 'text': '队伍'}, {'word': '部校', 'text': '部队;泛称武官'}, {'word': '部将', 'text': '部下的武官;军中偏将。'}]}, {'content': '中央行政官署。有时也称一般衙署、地方行政官署。', 'detail': [{'text': '还部白府君。', 'book': '《玉台新咏·古诗为焦仲卿妻作》'}], 'words': [{'word': '部费', 'text': '向吏部行贿以便批准任职所用的钱'}, {'word': '部尺', 'text': '由工部制造的标准尺'}, {'word': '部曹', 'text': '旧指京师各部司官'}, {'word': '部堂', 'text': '清代各部尚书、侍郎称部堂。又各省总督多带兵部尚书衔者,也叫部堂'}, {'word': '国防部;外交部;财政部'}]}, {'content': '地区。古代监察或行政区域名。', 'detail': [{'text': '河东二十八县,分为两部。', 'book': '《汉书·尹翁归传》'}]}, {'content': '部落。', 'detail': [{'text': '曾祖莫护跋,魏初率其诸部入居辽西。', 'book': '《晋书》'}]}, {'content': '分类,门类。', 'detail': [{'text': '名属教坊第一部。', 'book': '唐·白居易《琵琶行(并序)》'}], 'words': [{'word': '部索', 'text': '分部搜索'}, {'word': '部居', 'text': '分门别类的排列'}, {'word': '古籍分经、史子、集四部'}]}, {'content': '统率。', 'detail': [{'text': '汉王部五诸侯兵。', 'book': '《史记·项羽本纪》'}], 'words': [{'word': '部人', 'text': '被统率的人'}, {'word': '部握', 'text': '统管,掌握'}, {'word': '部率', 'text': '统率。'}]}, {'content': '安排,布置。', 'detail': [{'text': '部署诸将。', 'book': '《汉书·高帝纪》。注:“分部而署置。”'}], 'words': [{'word': '部索', 'text': '部署搜索罪人。'}]}, {'content': '用于书籍、机器、电影等。', 'detail': [{'text': '则此一部开国血史。', 'book': '孙文《黄花冈七十二烈士事略·序》'}], 'words': [{'word': '一部书,两部机器,三部电影'}]}]}",[左右],咅邑,[左右]咅邑,左面咅，右面邑
帖,8,tiè,巾,1,H2,['巾 占'],左右结构,左窄右宽,帖,1107.0,tiè,"{'pinyin': 'tiè', 'explanations': [{'content': '(形声。从巾,占声。本义:古代字写在布帛上叫帖)。'}, {'content': '写在帛上的书签。', 'detail': [{'text': '帖,帛书署也。', 'book': '《说文》。段玉裁注:木部曰:“检,书署也。”木为之谓之检,帛为之则谓之帖,皆谓幖题,今人所谓签也。”'}]}, {'content': '名册,名簿。', 'detail': [{'text': '府帖昨夜下,次选中男行。', 'book': '杜甫《新安吏》'}]}, {'content': '铭功纪事的石刻称“碑”,书疏称“帖” 。', 'words': [{'word': '晋代王羲之有《姨母帖》、《快雪时晴帖》'}]}, {'content': '又指石刻、木刻的拓本,书画的摹临范本 。', 'words': [{'word': '碑帖;字帖;画帖'}]}, {'content': '对联;联语。', 'detail': [{'text': '金子友来乞楹帖。', 'book': '《瓯北诗话》'}], 'words': [{'word': '春帖', 'text': '春联。'}]}]}",[左右],巾占,[左右]巾占,左侧巾浓烈，右侧占淡雅
聊,11,liáo,耳,2,H2,['耳 卯'],左右结构,左窄右宽,聊,2196.0,liáo,"{'pinyin': 'liáo', 'explanations': [{'content': '(形声。从耳,卯(mǎo)声。本义:耳鸣)。'}, {'content': '同本义。', 'detail': [{'text': '聊,耳鸣也。', 'book': '《说文》'}, {'text': '横舟航而济湘兮,耳聊啾而戃慌。', 'book': '刘向《九叹》'}], 'words': [{'word': '聊啾', 'text': '耳鸣。'}]}, {'content': '依赖,凭藉。', 'detail': [{'text': '百姓不聊生。', 'book': '《战国策·秦策》'}, {'text': '衣与缪与不女聊。', 'book': '《荀子·子道》'}, {'text': '上下相愁民无所聊。', 'book': '《战国策·秦策》'}, {'text': '苦不聊生,自经于道树。', 'book': '《史记·平津侯主父列传》'}, {'text': '穷饿无聊。', 'book': '宋·文天祥《指南录后序》'}, {'text': '不复聊赖', 'book': '《聊斋志异·促织》'}], 'words': [{'word': '聊生;聊赖'}]}, {'content': '略微,略。', 'detail': [{'text': '开春理常业,岁功聊可观。', 'book': '陶渊明《庚戌岁九月中于西田获早稻》'}], 'words': [{'word': '聊陈愚见;聊胜一筹', 'text': '略微高出一点'}, {'word': '聊胜于无', 'text': '比没有稍好一些'}, {'word': '聊聊', 'text': '稀少。'}]}, {'content': '姑且,暂且。', 'detail': [{'text': '聊与之谋。', 'book': '《诗·邶风·泉水》'}, {'text': '聊资一欢。', 'book': '清·袁枚《祭妹文》'}, {'text': '聊相为言之。', 'book': '唐·韩愈《朱文公较昌黎先生集》'}, {'text': '聊举数人以训汝。', 'book': '宋·司马光《训俭示康》'}], 'words': [{'word': '聊当', 'text': '权当;犹如'}, {'word': '聊复', 'text': '暂且'}, {'word': '聊报涓埃', 'text': '姑且略微报答。'}]}, {'content': '惊恐,恐惧的样子。', 'detail': [{'text': '聊兮栗兮。', 'book': '枚乘《七发》'}], 'words': [{'word': '聊栗', 'text': '恐惧的样子。'}]}]}",[左右],耳卯,[左右]耳卯,左肩耳担当重任，右肩卯守护安宁
苏,7,sū,艹,1,B2,"['草 办', '艸 办', '艹 办']",上下结构,上小下大,苏,677.0,sū,"{'pinyin': 'sū', 'explanations': [{'content': '(形声。从艸,稣(sū)声。从艸,与植物有关。本义:植物名,即紫苏)。'}, {'content': '柴草。', 'detail': [{'text': '樵苏脂烛,莫非种植之物也。', 'book': '《颜氏家训》'}]}, {'content': '须状下垂的饰物。', 'detail': [{'text': '金车玉作轮,踯躅青骢马,流苏金缕鞍。', 'book': '《玉台新咏·古诗为焦仲卿妻作》'}]}, {'content': '更生。', 'detail': [{'text': '死而复生谓之苏。', 'book': '《小尔雅·广名》'}, {'text': '苏,俗作甦。', 'book': '《集韵》'}, {'text': '蘇,息也,死而更生也。', 'book': '《广韵》'}, {'text': '更生为苏。', 'book': '《颜氏家训·杂艺》'}, {'text': '震苏苏。', 'book': '《易·震卦》'}, {'text': '傒予后,后来其苏。', 'book': '《书·仲虺之诰》'}, {'text': '蛰虫昭苏。', 'book': '《礼记·乐记》'}, {'text': '苏世独立。', 'book': '《楚辞·九章·橘颂》'}, {'text': '自言身化促织,轻捷善斗,今始苏耳。', 'book': '《聊斋志异·促织》'}], 'words': [{'word': '苏息', 'text': '再生滋长'}, {'word': '苏生', 'text': '苏醒;复活'}, {'word': '苏更', 'text': '复活;苏醒'}, {'word': '苏复', 'text': '恢复“穌”。'}]}, {'content': '唤醒;昏迷后醒过来。', 'detail': [{'text': '近抚之,气息惙然。喜置榻上,半夜复苏。', 'book': '《聊斋志异·促织》'}], 'words': [{'word': '苏省', 'text': '苏醒'}, {'word': '苏活', 'text': '苏醒;复活'}, {'word': '苏兴', 'text': '犹苏醒。'}]}, {'content': '割草;取草。', 'detail': [{'text': '行者践其首脊,苏者取而爨之而已。', 'book': '《庄子·天运》'}]}, {'content': '引申为取。', 'detail': [{'text': '苏粪壤以充帏兮。', 'book': '《离骚》'}]}, {'content': '“噜囌”(lūsū),即“噜苏”(lūsū)。'}, {'content': '姓。'}]}",[上下],草办,[上下]草办,上方草，下方办
斟,13,zhēn,斗,2,H0,['甚 斗'],左右结构,左右结构,斟,2846.0,zhēn,"{'pinyin': 'zhēn', 'explanations': [{'content': '(形声。从斗,甚声。本义:用勺子舀取)。'}, {'content': '同本义。', 'detail': [{'text': '斟,勺也。', 'book': '《说文》'}, {'text': '斟,酌也。', 'book': '《广雅》'}, {'text': '孔子穷乎陈蔡之间,藜羹不斟,七日不尝粒。', 'book': '《吕氏春秋》'}, {'text': '太行何艰哉,北斗不可斟。', 'book': '唐·顾况《游子吟》'}, {'text': '其御羊斟不与。', 'book': '《左传·宣公二年》'}, {'text': '羊羹不斟,而宋国危。', 'book': '《淮南子·鏐称》'}]}, {'content': '用壶倒酒或茶水。', 'detail': [{'text': '主人有酒且莫斟,听我一曲悲来吟。', 'book': '唐·李白《悲歌行》'}], 'words': [{'word': '斟酒;斟一杯水;斟泻', 'text': '倾注'}, {'word': '斟茶;给她斟一杯酒'}]}, {'content': '考虑,考虑好坏,比较长短。', 'detail': [{'text': '斟量功伐。', 'book': '《颜氏家训·省事》'}], 'words': [{'word': '斟酌损益', 'text': '仔细考虑,反复商讨,以决定增减、兴革'}, {'word': '斟勺', 'text': '考虑,吸取'}, {'word': '斟裁', 'text': '斟酌决定'}, {'word': '斟量', 'text': '酌量;估量。'}]}, {'content': '汤汁,羹汁。', 'detail': [{'text': '斟,汁也。', 'book': '《方言三》'}, {'text': '厨人进斟,因反斗以击代王,杀之。', 'book': '《史记·张仪列传》'}]}, {'content': '古国名 。相传为夏同姓诸侯之国。'}]}",[左右],甚斗,[左右]甚斗,左岸甚波涛汹涌，右岸斗波澜不惊
辫,17,biàn,辛,1,M0,"['辛 丝 辛', '辛 纟 辛']",左中右结构,左中右结构,辫,3426.0,biàn,"{'pinyin': 'biàn', 'explanations': [{'content': '交织,编结。也作“编”。', 'detail': [{'text': '辮,交也。', 'book': '《说文》'}, {'text': '织绳曰辮。', 'book': '《通俗文》'}, {'text': '女子头发辫而不垂。', 'book': '《梁书·西北诸戎传》'}], 'words': [{'word': '辫发', 'text': '将头发编成辫子;用作满族代称'}, {'word': '辫髻', 'text': '编发成辫,再盘成髻。'}]}, {'content': '发辫。分股编紧的头发。', 'detail': [{'text': '解辫请职。', 'book': '南朝齐·丘迟《与陈伯之书》'}], 'words': [{'word': '梳小辫儿'}]}]}",[左中右],辛丝辛,[左中右]辛丝辛,左翼辛策马奔腾，中翼丝坚如磐石，右翼辛翱翔天际
磕,15,kē,石,2,H2,"['石 盍', '石 去 皿']",左右结构,左窄右宽,磕,3225.0,kē,"{'pinyin': 'kē', 'explanations': [{'content': '(形声。从石hé声。本义:石声或鼓声) 同本义。'}, {'content': '石头撞击声。', 'detail': [{'text': '磕,石声。', 'book': '《说文》'}]}, {'content': '物相碰声。', 'detail': [{'text': '榜舫兮下流,东注兮磕磕。', 'book': '汉·王褒《九怀尊嘉》'}], 'words': [{'word': '磕擦擦', 'text': '形容物体磨擦碰撞声或马蹄声'}, {'word': '磕磕', 'text': '物相碰声'}, {'word': '磕扑扑', 'text': '急促的脚步声。'}]}, {'content': '眯稳莸犊痴渡鄙H磕叉(磕叉叉;磕擦。砍砸斩杀声)。'}, {'content': '碰击,碰撞。', 'detail': [{'text': '云缠风束乱敲磕。', 'book': '杜牧《大雨行》'}], 'words': [{'word': '磕打', 'text': '捶打;比喻折磨'}, {'word': '磕开', 'text': '击开;撞开'}, {'word': '磕撞', 'text': '碰撞,撞击'}, {'word': '磕竹', 'text': '用两块瓢形的竹、木片占卜吉凶'}, {'word': '磕牙料嘴', 'text': '斗嘴,耍嘴皮子'}, {'word': '磕绊', 'text': '由说话引起的争端冲突。'}]}, {'content': '(kè)。用上下牙咬有壳的或硬的东西。', 'detail': [{'text': '黛玉磕着瓜子儿,只管抿着嘴儿笑。', 'book': '《红楼梦》'}], 'same': '嗑'}, {'content': '叩头,旧时的跪拜礼。', 'detail': [{'text': '爹!就这样跪着磕吧,别换衣服啦。', 'book': '曹禺《北京人》'}], 'words': [{'word': '磕头礼拜', 'text': '叩头行礼'}, {'word': '磕扑', 'text': '双膝同时着地的声音。'}]}]}",[左右],石盍,[左右]石盍,左边石，右边盍
核,10,hé,木,1,H2,['木 亥'],左右结构,左窄右宽,核,1848.0,hé,"{'pinyin': 'hé', 'explanations': [{'content': '(形声。从木,亥声。本义:果核)。'}, {'content': '同本义。', 'detail': [{'text': '核,蛮夷以木皮为箧,状如籢尊。', 'book': '《说文》'}, {'text': '桃李丑核。', 'book': '《尔雅·释木》'}, {'text': '殽核维旅。', 'book': '《诗·小雅·宾之初筵》'}, {'text': '其实濡核。', 'book': '《素问·五常正大论》'}, {'text': '贻余核舟。', 'book': '明·魏学洢《核舟记》'}, {'text': '桃核修狭者。'}], 'words': [{'word': '枣核;樱桃核;葡萄核;橘核'}]}, {'content': '有核的果实。', 'detail': [{'text': '门启,华堂复阁甚秀,馆中有樽酒盘核。', 'book': '《太平广记》引'}]}, {'content': '核心;中心。', 'detail': [{'text': '文吏不学,世之教无核也。', 'book': '王充《论衡·量知》'}]}, {'content': '查对;审查。', 'detail': [{'text': '凡学问之法,不为无才,难于距师,核道实义,证定是非也。', 'book': '《论衡·问孔》'}, {'text': '综核名实。', 'book': '《汉书·宣帝纪赞》'}, {'text': '其审核之,务准古法。', 'book': '《汉书·刑法志》。颜师古云:核,究其实也。'}, {'text': '研核阴阳。', 'book': '《后汉书·张衡传》'}], 'words': [{'word': '核正', 'text': '查核订正'}, {'word': '核批', 'text': '审查批示'}, {'word': '核视', 'text': '审查察看'}, {'word': '核夺', 'text': '审核决定。'}]}]}",[左右],木亥,[左右]木亥,左肩木担当重任，右肩亥守护安宁
效,10,xiào,攵,0,H0,"['交 攴', '交 攵']",左右结构,左右结构,效,2034.0,xiào,"{'pinyin': 'xiào', 'explanations': [{'content': '(形声。从攴(pū),交声。“攴”有致力的意思。本义:献出;尽力)。'}, {'content': '同本义。', 'detail': [{'text': '司城荡意诸来奔,效节于府人而出。', 'book': '《左传》'}, {'text': '异日韩王纳地效玺。', 'book': '《史记》'}], 'words': [{'word': '效力;效绩', 'text': '呈献功绩'}, {'word': '效玺', 'text': '呈献国君的印章,表示臣服'}, {'word': '效己', 'text': '贡献一己之力'}, {'word': '效芹', 'text': '自称贡献微薄。'}]}, {'content': '明白。', 'detail': [{'text': '由此效之也。', 'book': '《荀子·正论》'}, {'text': '乡也,效门室之辨。', 'book': '《荀子·儒效》'}, {'text': '效,明也。', 'book': '《方言十三》'}]}, {'content': '考查。考核。', 'detail': [{'text': '彼将任我以事而效我以功。', 'book': '《庄子·列御寇》'}], 'same': '校', 'words': [{'word': '效试', 'text': '考核试验'}, {'word': '效志', 'text': '查核心志'}, {'word': '效情', 'text': '验以情理。'}]}, {'content': '授还,授。', 'detail': [{'text': '宣王有志,而后效官。', 'book': '《左传·昭公二十六年》。注:“授也。”'}], 'words': [{'word': '效官;效业', 'text': '授官。'}]}, {'content': '显示;呈现。', 'detail': [{'text': '信者效其忠。', 'book': '唐·魏征《谏太宗十思疏》'}], 'words': [{'word': '效祉', 'text': '呈现福祉'}, {'word': '效祥', 'text': '呈露祥瑞。'}]}, {'content': '效验,验证。', 'detail': [{'text': '何以效之。', 'book': '汉·王充《论衡·订鬼篇》'}]}, {'content': '效劳,效忠。', 'detail': [{'text': '杀身自效。', 'book': '《汉书·李广苏建传》'}]}, {'content': '摹仿;师法。', 'detail': [{'text': '效,像也。', 'book': '《说文》。字亦作俲'}, {'text': '效者,为之法也。', 'book': '《墨子·小取》'}, {'text': '君子是则是傚。', 'book': '《诗·小雅·鹿鸣》'}, {'text': '民胥傚矣。', 'book': '《诗·小雅·角弓》'}, {'text': '尤而傚之。', 'book': '《左传·襄公二十五年》'}, {'text': '则而傚之。', 'book': '《孝经》'}]}, {'content': '字又作傚。', 'detail': [{'text': '教之为言傚也。上行之,下傚之。', 'book': '《元命苞》'}, {'text': '知崇礼卑。崇效天,卑法地。', 'book': '《易·系辞上》'}, {'text': '父亲不思报国酬恩,捐躯尽节,效儿女子之计。', 'book': '《封神演义》'}, {'text': '欲效野夫。', 'book': '明·刘基《诚意伯刘文成公文集》'}], 'words': [{'word': '效学', 'text': '仿效,学习'}, {'word': '效蹙', 'text': '不善模仿而弄巧成拙'}, {'word': '效好', 'text': '学好'}, {'word': '效作', 'text': '仿作'}, {'word': '效戾', 'text': '效尤'}, {'word': '效慕', 'text': '仿效'}, {'word': '效邮', 'text': '效尤'}, {'word': '东施效颦;上行下效'}]}, {'content': '功效;效果;结果。', 'detail': [{'text': '效亦大矣。', 'book': '《淮南子·脩务》'}, {'text': '彊弱存亡之效。', 'book': '《荀子·议兵》'}, {'text': '以德为効。', 'book': '《汉书·刘向传》'}, {'text': '用兵之效。', 'book': '宋·苏洵《六国论》'}, {'text': '效则归于天择。', 'book': '[英]赫胥黎著、严复译《天演论》'}, {'text': '自其效观。'}, {'text': '愿大王少留意,臣请奏其效。', 'book': '《战国策·秦策一》'}, {'text': '此其效也(效:效验,验证)。', 'book': '宋·沈括《梦溪笔谈》'}], 'words': [{'word': '药效;生效;失效;无效;投效;肥效;速效;后效;时效;见效;疗效;实效;奏效;特效;成效;有效'}]}, {'content': '经验。', 'detail': [{'text': '外夷战备日新,老将多恃旧效,昧于改图,故致无功。', 'book': '康有为《上清帝第二书》'}]}]}",[左右],交攴,[左右]交攴,左侧交浓烈，右侧攴淡雅
豺,10,chái,豸,2,H0,['豸 才'],左右结构,左右结构,豺,1988.0,chái,"{'pinyin': 'chái', 'explanations': [{'content': '(形声。从豸(zhì),才声。从“豸”,表示与野兽有关。本义:野兽名。形似犬而残猛如狼,俗名豺狗) 同本义。', 'detail': [{'text': '豺,狼属,狗声。', 'book': '《说文》。字亦作犲。'}, {'text': '豺,狗足。', 'book': '《尔雅》'}, {'text': '豺似狗,白色,有爪牙。迅捷,善搏噬也。', 'book': '《苍颉篇·解诂》'}, {'text': '豺则祭兽。', 'book': '《吕氏春秋·季秋》。注:“似狗而长毛,其色黄。'}, {'text': '搏豺狼。', 'book': '《史记·司马相如传》'}, {'text': '曹公,豺虎也。', 'book': '《资治通鉴》'}]}, {'content': '按,一种野犬,比狼小,毛色较黄,胆子也较狼小,有时夜间成群猎食,但多半是单独或成对出猎,主要吃腐肉或小动物(如家禽)。'}]}",[左右],豸才,[左右]豸才,左手的豸温柔细腻，右手的才力量十足
