字符,笔画数,拼音,偏旁部首,频率,结构代码,拆字,结构方式,间架比例,char,index,pinyin,pronunciation_details,结构谜底,拆字谜底,谜底,字谜
劲,7,jìn,力,1,H0,['圣 力'],左右结构,左右结构,劲,926.0,jìn,"{'pinyin': 'jìn', 'explanations': [{'content': '(形声。从力,坙声。①(jìng)本义:强劲有力。②力气)。'}]}",[左右],圣力,[左右]圣力,左侧执圣，右侧持力
拔,8,bá,扌,1,H2,"['手 犮', '扌 犮', '才 犮']",左右结构,左窄右宽,拔,959.0,bá,"{'pinyin': 'bá', 'explanations': [{'content': '(形声。从手,犮(bó)声。本义:拔起,拔出)。'}, {'content': '同本义。', 'detail': [{'text': '拔,擢也。', 'book': '《说文》'}, {'text': '拔,引也。', 'book': '《苍颉篇》'}, {'text': '确乎其不可拔。', 'book': '《易·乾》。郑注:“移也。”'}, {'text': '拔河。', 'book': '《封氏见闻录》'}, {'text': '杨子取为我,拔一毛而利天下,不为也。', 'book': '《孟子·尽心上》'}, {'text': '力拔山兮气盖世。', 'book': '《史记·项羽本纪》'}]}, {'content': '又。', 'detail': [{'text': '拔剑切而啖之。'}]}, {'content': '又。', 'detail': [{'text': '拔剑撞而破之。'}, {'text': '拔刃奋起。', 'book': '清·徐珂《清稗类钞·战事类》'}], 'words': [{'word': '拔毛;拔草;拔秧'}]}, {'content': '选拔;提拔。', 'detail': [{'text': '是以先帝简拔以遗陛下。', 'book': '诸葛亮《出师表》'}, {'text': '山涛作冀州,甄拔三十余人。', 'book': '李白《与韩荆州书》'}], 'words': [{'word': '拔用', 'text': '提拔任用'}, {'word': '拔补', 'text': '提拔补官'}, {'word': '选拔', 'text': '挑选'}, {'word': '提拔', 'text': '挑选人员任更高职。'}]}, {'content': '突出;超出。', 'detail': [{'text': '势拔五岳掩赤城。', 'book': '唐·李白《梦游天姥吟留别》'}], 'words': [{'word': '拔绝', 'text': '卓越'}, {'word': '出类拔萃', 'text': '才能出众。'}]}, {'content': '突起。', 'detail': [{'text': '皆峭拔险怪。', 'book': '宋·沈括《梦溪笔谈》'}, {'text': '然峭拔秀丽皆不可与小孤比。', 'book': '宋·陆游《过小孤山大孤山》'}], 'words': [{'word': '挺拔', 'text': '直立而高耸'}, {'word': '拔立', 'text': '耸立;挺立。'}]}, {'content': '攻取。', 'detail': [{'text': '拔石城。', 'book': '《史记·廉颇蔺相如列传》'}, {'text': '已拔赵。', 'book': '《史记·魏公子列传》'}], 'words': [{'word': '拔城;连拔敌人四个据点'}]}, {'content': '移动。', 'detail': [{'text': '亮拔县千余家。', 'book': '罗贯中《三国演义》'}]}]}",[左右],手犮,[左右]手犮,弓的左侧，手待发之势；弓的右侧，犮射出之力
酒,10,jiǔ,酉,1,H0,"['水 酉', '氵 酉']",左右结构,左右结构,酒,2069.0,jiǔ,"{'pinyin': 'jiǔ', 'explanations': [{'content': '(会意。从水,从酉(yǒu)。“酉”本义就是酒。“酉”亦兼表字音。本义:用高粱、大麦、米、葡萄或其他水果发酵制成的饮料)。'}, {'content': '同本义。', 'detail': [{'text': '酒,就也。所以就人性之善恶。', 'book': '《说文》'}, {'text': '酒曰清酌。', 'book': '《礼记·曲礼》'}, {'text': '酒食者,所以令欢也。', 'book': '《礼记·乐记》'}, {'text': '酒者所以养老也,所以养病也。', 'book': '《礼记·射义》'}, {'text': '酒,百乐之长。又,酒者,天下之美禄。', 'book': '《汉书·食货志》'}, {'text': '不为酒困。', 'book': '《论语·子罕》'}], 'words': [{'word': '酒肆', 'text': '酒店'}, {'word': '酒水', 'text': '酒;筵席'}, {'word': '酒生', 'text': '酒保,酒店伙计'}, {'word': '酒务', 'text': '酒店。'}]}, {'content': '以酒荐祖庙。', 'detail': [{'text': '卜辞所载之酒字为祭名。考古者酒熟而荐祖庙,然后天子与群臣饮之于朝。', 'book': '罗振玉《殷虚文字类编》'}]}]}",[左右],水酉,[左右]水酉,左边是水，右边是酉
蟋,17,xī,虫,2,H2,['虫 悉'],左右结构,左窄右宽,蟋,3411.0,xī,"{'pinyin': 'xī', 'explanations': [{'content': '蟋蟀的简称。'}]}",[左右],虫悉,[左右]虫悉,左侧执虫，右侧持悉
栈,9,zhàn,木,2,H2,['木 戋'],左右结构,左窄右宽,栈,1425.0,zhàn,"{'pinyin': 'zhàn', 'explanations': [{'content': '(形声。从木,戔(jiān)声。本义:牲口棚)。'}, {'content': '同本义。', 'detail': [{'text': '栈,棚也。', 'book': '《说文》。按,栅者,竖编之,棚者,横编之。'}, {'text': '埋之马栈之下。', 'book': '《战国策·齐策》'}, {'text': '马栈最难。', 'book': '《管子·小问》'}, {'text': '编之以皁栈。', 'book': '《庄子·马蹄》。崔注:“木棚也。”'}, {'text': '毙于内栈。', 'book': '颜延之《赭白马赋》'}, {'text': '驽马恋栈豆。', 'book': '《晋书·宣帝纪》'}, {'text': '四墙其社,覆上栈下,示不得通。', 'book': '《汉书》'}], 'words': [{'word': '皂栈', 'text': '马房中的栅栏和方格木条。'}]}, {'content': '古代用竹木条横排编成车箱的轻便车子。', 'detail': [{'text': '栈,竹木之车曰栈。', 'book': '《说文》'}, {'text': '有栈之车。', 'book': '《诗·小雅·何草不黄》'}, {'text': '车乘栈车。', 'book': '《周礼·巾车》'}, {'text': '宾奠币于栈左。', 'book': '《仪礼·既夕礼》'}], 'words': [{'word': '栈车', 'text': '栈舆。古代用竹木条编成车箱的车,不蒙皮革'}, {'word': '栈轸', 'text': '指编排竹木条而成的车箱,不蒙皮革'}, {'word': '栈舆马', 'text': '陋车劣马。后用为居官清廉俭朴的典实。'}]}, {'content': '栈道。', 'detail': [{'text': '栈道千里,通于蜀汉。', 'book': '《战国策·秦策》'}, {'text': '复从峡度栈以上。', 'book': '《徐霞客游记·游黄山记》'}], 'words': [{'word': '栈山', 'text': '以栈为道跋越高山'}, {'word': '栈山航海', 'text': '谓跋山涉水,逾越险阻'}, {'word': '栈谷', 'text': '架设栈道以跨越山谷'}, {'word': '栈径', 'text': '栈道'}, {'word': '栈云', 'text': '谓栈道高与云连'}, {'word': '栈路', 'text': '栈道。'}]}, {'content': '姓。'}]}",[左右],木戋,[左右]木戋,门的左扇，木装饰之美；门的右扇，戋简约之雅
恶,10,wū,心,1,B3,['亚 心'],上下结构,上大下小,恶,1829.0,wū,"{'pinyin': 'wū', 'explanations': [{'content': '表示疑问,相当于“何”、“怎么”。', 'detail': [{'text': '恶,安也。', 'book': '《广韵》'}, {'text': '恶识宗?', 'book': '《左传·襄公二十八年》'}, {'text': '弃父之命,恶用子矣!', 'book': '《左传·桓公十六年》'}, {'text': '彼恶知之。', 'book': '《孟子·梁惠王上》'}, {'text': '恶能无纪。', 'book': '明·袁宏道《满井游记》'}]}, {'content': '表示惊讶。', 'detail': [{'text': '恶,是何言也?', 'book': '《孟子》'}, {'text': '恶,是何言。', 'book': '清·梁启超《饮冰室合集·文集》'}]}]}",[上下],亚心,[上下]亚心,云上是亚的舞，地下是心的步
倔,10,juè,亻,2,H2,"['人 屈', '亻 屈']",左右结构,左窄右宽,倔,1974.0,juè,"{'pinyin': 'juè', 'explanations': [{'words': [{'word': '倔巴;倔然', 'text': '生硬鲁莽的样子。'}]}]}",[左右],人屈,[左右]人屈,左边是人，右边是屈
战,9,zhàn,戈,0,H0,['占 戈'],左右结构,左右结构,战,1468.0,zhàn,"{'pinyin': 'zhàn', 'explanations': [{'content': '(形声。从戈,单(占)声。本义:作战,打仗)。'}, {'content': '同本义。', 'detail': [{'text': '战,斗也。', 'book': '《说文》'}, {'text': '皆陈曰战。', 'book': '《左传·庄公十一年》'}, {'text': '春秋敌者言战。', 'book': '《公羊传·庄公三十年》'}, {'text': '忠之属也,可以一战。战则请从。', 'book': '《左传·庄公十年》'}, {'text': '将军百战死。', 'book': '《乐府诗集·木兰诗》'}, {'text': '脱我战时袍。'}, {'text': '挟矢以助战。', 'book': '明·魏禧《大铁椎传》'}, {'text': '技击利巷战。', 'book': '清·徐珂《清稗类钞·战事类》'}, {'text': '普法交战图。', 'book': '清·薛福成《观巴黎油画记》'}, {'text': '时北兵已迫修门外,战、守、迁皆不及施。', 'book': '宋·文天祥《指南录后序》'}], 'words': [{'word': '征战', 'text': '出征作战'}, {'word': '战阀', 'text': '战功'}, {'word': '战垒', 'text': '战争中用以防守的堡垒。'}]}, {'content': '泛指搏斗,争斗,争胜负,比高低。', 'detail': [{'text': '龙战于野。', 'book': '《易·坤》'}, {'text': '下骑搏战。', 'book': '清·邵长蘅《青门剩稿》'}], 'words': [{'word': '文战;酒战;西瓜战'}]}, {'content': '后作“颤”。发抖。', 'detail': [{'text': '战栗,惧也。', 'book': '《尔雅·释诂》'}, {'text': '股战而栗。', 'book': '《汉书·高五王传》'}, {'text': '使民战栗。', 'book': '《论语·八佾》'}, {'text': '战战兢兢,如临深渊,如履薄冰。', 'book': '《诗·小雅·小旻》'}, {'text': '闻鸣镝而股战。', 'book': '南朝梁·丘迟《与陈伯之书》'}], 'words': [{'word': '战欣欣', 'text': '战兢兢'}, {'word': '战钦钦', 'text': '战兢兢'}, {'word': '战笃索', 'text': '战抖'}, {'word': '战笃速', 'text': '战抖'}, {'word': '战都速', 'text': '战抖'}, {'word': '战恐', 'text': '恐惧发抖'}, {'word': '战动', 'text': '颤动;抖动'}, {'word': '战悸', 'text': '惶恐发抖。'}]}, {'content': '战争;战事。', 'detail': [{'text': '王师非乐战,之子慎佳兵。', 'book': '陈子昂《送别崔著作东征》'}, {'text': '普法之战。', 'book': '清·薛福成《观巴黎油画记》'}], 'words': [{'word': '战史', 'text': '记载战争情况的史书或文章'}, {'word': '战多', 'text': '战功'}, {'word': '战征', 'text': '征战;战争'}, {'word': '战讯', 'text': '战事的消息'}, {'word': '战道', 'text': '战争的规律或法则。'}]}, {'content': '姓。'}]}",[左右],占戈,[左右]占戈,左岸占繁华，右岸戈静谧
陡,9,dǒu,阝,1,H2,"['阜 走', '阝 走']",左右结构,左窄右宽,陡,1727.0,dǒu,"{'pinyin': 'dǒu', 'explanations': [{'content': '(形声。从阜,走声。从“阜”,表示与地形地势的高低上下有关。本义:山势陡峭) 同本义 。坡度大,近于垂直。', 'detail': [{'text': '陡,峻立也。', 'book': '《集韵》'}, {'text': '塞者凿之,陡者级之。', 'book': '《徐霞客游记·游黄山记》'}], 'words': [{'word': '陡山;山陡路险;陡直', 'text': '山势峻峭壁立'}, {'word': '陡崖', 'text': '陡峭的山崖。'}]}, {'content': '程度深,范围广。', 'detail': [{'text': '曾经消瘦,每遍犹闲,这番最陡。', 'book': '元·王实甫《西厢记》'}]}]}",[左右],阜走,[左右]阜走,左手创阜，右手绘走
眼,11,yǎn,目,0,H2,['目 艮'],左右结构,左窄右宽,眼,2263.0,yǎn,"{'pinyin': 'yǎn', 'explanations': [{'content': '(形声。从目,艮(gèn)声。本义:眼珠)。'}, {'content': '同本义。', 'detail': [{'text': '眼,目也。', 'book': '《说文》'}, {'text': '眼,限也。瞳子限限而出也。', 'book': '《释名》'}, {'text': '巽为多白眼。', 'book': '《易·说卦》'}, {'text': '比干剖心,子胥抉眼,忠之祸也。', 'book': '《庄子·盗跖》'}]}, {'content': '泛指眼睛。', 'detail': [{'text': '莫自使眼枯,收汝泪纵横。', 'book': '杜甫《新安吏》'}], 'words': [{'word': '眼馋肚饱', 'text': '贪得无厌;不知足'}, {'word': '眼意心期', 'text': '眼中传意,心中期待'}, {'word': '眼黄地黑', 'text': '心怀叵测,见财起意'}, {'word': '眼空四海', 'text': '目中无人,妄自尊大'}, {'word': '眼张失道', 'text': '睁大眼睛,说不出话来。形容受惊而痴呆的样子'}, {'word': '眼里出火', 'text': '形容极贪婪的神情'}, {'word': '眼同检验', 'text': '会同人员,共同检验'}, {'word': '眼皮子薄', 'text': '比喻气量小,喜欢斤斤计较'}, {'word': '眼上眼下', 'text': '上下端详'}, {'word': '眼盻盻', 'text': '喻指极为厌恶憎恨的人。'}]}, {'content': '耳目;眼线。', 'detail': [{'text': '当下就带孙小二做眼,飞马赶到北关门下。', 'book': '《警世通言》'}]}, {'content': '见证。', 'detail': [{'text': '教地方公同作眼,将梁公家家财什物变卖了。', 'book': '《古今小说》'}], 'words': [{'word': '眼证', 'text': '当场目睹可作证的人;见证人。'}]}, {'content': '指孔;洞穴。', 'detail': [{'text': '泉眼无声惜细流。', 'book': '杨万里《小池》'}], 'words': [{'word': '眼子', 'text': '孔洞'}, {'word': '眼孔', 'text': '孔;小洞。'}]}, {'content': '围棋用语。成片的白子或黑子中间的空心,在这个空心中对手不能下子。', 'detail': [{'text': '探春因一块棋受了敌,算来算去总得了两个眼。', 'book': '《红楼梦》'}]}]}",[左右],目艮,[左右]目艮,左岸目繁华，右岸艮静谧
